Id,Title,Tags
"4","How to convert a Decimal to a Double in C#?","<c#><floating-point><type-conversion><double><decimal>"
"6","Why did the width collapse in the percentage width child element in an absolutely positioned parent on Internet Explorer 7?","<html><css><internet-explorer-7>"
"7","",""
"9","How do I calculate someone's age based on a DateTime type birthday?","<c#><.net><datetime>"
"11","Calculate relative time in C#","<c#><datetime><time><datediff><relative-time-span>"
"12","",""
"13","Determine a user's timezone","<html><browser><timezone><user-agent><timezone-offset>"
"14","Difference between Math.Floor() and Math.Truncate()","<.net><math>"
"16","Filling a DataSet or a DataTable from a LINQ query result set","<c#><linq><web-services><.net-3.5>"
"17","Binary Data in MySQL","<mysql><database><binary-data><data-storage>"
"18","",""
"19","What is the fastest way to get the value of π?","<performance><algorithm><language-agnostic><unix><pi>"
"22","",""
"24","Throw an error preventing a table update in a MySQL trigger","<mysql><database><triggers>"
"25","How to use the C socket API in C++ on z/OS","<c++><c><sockets><mainframe><zos>"
"26","",""
"27","",""
"29","",""
"30","",""
"31","",""
"33","",""
"34","How to unload a ByteArray using Actionscript 3?","<arrays><actionscript-3><apache-flex>"
"36","Check for changes to an SQL Server table?","<sql><sql-server><datatable><rdbms>"
"39","Reliable timer in a console application","<c#><.net><vb.net><timer>"
"42","Best way to allow plugins for a PHP application","<php><plugins><architecture><hook>"
"44","",""
"45","",""
"48","Multiple submit buttons in an HTML form","<html><forms><form-submit><submit-button>"
"49","",""
"51","",""
"52","",""
"53","",""
"56","",""
"58","",""
"59","How do I get a distinct, ordered list of names from a DataTable using LINQ?","<c#><linq><.net-3.5>"
"60","",""
"61","Microsoft Office 2007 file type, Mime types and identifying characters","<mime><file-type><office-2007>"
"62","",""
"65","",""
"66","Paging a collection with LINQ","<linq><.net-3.5>"
"68","",""
"71","",""
"72","How do I add existing comments to RDoc in Ruby?","<ruby><rdoc>"
"73","",""
"76","",""
"77","",""
"78","",""
"79","Getting Subclipse in Aptana to work with the newest release of Subversion","<eclipse><svn><aptana><subclipse>"
"80","SQLStatement.execute() - multiple queries in one statement","<apache-flex><actionscript-3><air>"
"81","",""
"82","",""
"84","",""
"85","Flat file databases","<php><sql><database><flat-file>"
"86","",""
"87","",""
"88","Is gettimeofday() guaranteed to be of microsecond resolution?","<linux><winapi><visual-c++><unix><timer>"
"89","",""
"90","How do you branch and merge with TortoiseSVN?","<svn><tortoisesvn><branch><branching-and-merging>"
"92","",""
"93","",""
"98","",""
"99","",""
"103","",""
"104","Anatomy of a ""Memory Leak""","<.net><performance><memory-leaks><com-interop>"
"107","",""
"108","Best Subversion clients for Windows Vista (64bit)","<windows><svn><64-bit>"
"109","Decoding T-SQL CAST in C#/VB.NET","<c#><sql><vb.net><ascii><hex>"
"110","",""
"111","",""
"112","",""
"113","",""
"114","",""
"116","",""
"120","ASP.NET Site Maps","<sql><asp.net><xml><sitemap>"
"123","Java lib or app to convert CSV to XML file?","<java><xml><csv><data-conversion>"
"124","",""
"126","How would you access Object properties from within an object method?","<java><php><oop><theory>"
"127","",""
"128","",""
"129","How to export data from SQL Server 2005 to MySQL","<mysql><sql-server><csv><sql-server-2005><bcp>"
"133","",""
"134","XSD DataSets and ignoring foreign keys","<.net><database><xsd>"
"135","",""
"139","",""
"141","",""
"142","",""
"143","",""
"145","Compressing / Decompressing Folders & Files","<c#><.net><file><compression>"
"146","How do I track file downloads","<php><apache><logging><download><analytics>"
"147","",""
"148","",""
"149","",""
"151","",""
"152","",""
"153","",""
"154","",""
"155","",""
"158","",""
"159","",""
"160","",""
"161","",""
"163","How do I sync the SVN revision number with my ASP.NET web site?","<.net><asp.net><svn><versioning>"
"164","Embedding Windows Media Player for all browsers","<windows><embed><media>"
"165","",""
"166","",""
"167","",""
"169","",""
"170","",""
"173","How to do version control for SQL Server database?","<sql-server><database><svn><version-control>"
"174","How do I print an HTML document from a web service?","<c#><html><web-services><printing>"
"175","Annotating YouTube videos programmatically","<youtube><reverse-engineering>"
"176","error_log per Virtual Host?","<linux><apache><virtualhost>"
"180","Function for creating color wheels","<algorithm><language-agnostic><colors><color-space>"
"183","",""
"190","",""
"192","Floating Point Number parsing: Is there a Catch All algorithm?","<c#><.net><asp.net><internationalization><globalization>"
"194","Upgrading SQL Server 6.5","<sql-server><migration>"
"195","",""
"197","",""
"199","",""
"206","",""
"207","",""
"210","",""
"212","",""
"227","What's the best way to generate a tag cloud from an array using h1 through h6 for sizing?","<php><arrays><tag-cloud>"
"229","",""
"231","Register Windows program with the mailto protocol programmatically","<windows><mailto>"
"233","",""
"234","SQL Server 2005 implementation of MySQL REPLACE INTO?","<mysql><sql-server><sql-server-2005>"
"236","",""
"238","",""
"243","",""
"246","Create a SQLite database based on an XSD Data Set","<.net><database><sqlite>"
"253","",""
"258","",""
"260","Adding scripting functionality to .NET applications","<c#><.net><scripting><compiler-construction>"
"263","GTK implementation of MessageBox","<c><linux><gtk><x11>"
"264","BerkeleyDB Concurrency","<c++><berkeley-db>"
"265","Best Practice: Collaborative Environment, Bin Directory, SVN","<svn><collaboration>"
"266","",""
"268","",""
"269","",""
"274","",""
"289","How do you sort a dictionary by value?","<c#><.net><sorting><dictionary>"
"290","",""
"291","",""
"292","",""
"297","",""
"298","",""
"304","",""
"307","",""
"308","Is there a version control system for database structure changes?","<sql><database><oracle><version-control>"
"310","",""
"328","PHP Session Security","<security><php>"
"329","",""
"330","Should I use nested classes in this case?","<c++><oop><class><nested-class>"
"331","",""
"332","",""
"335","",""
"336","When to use unsigned values over signed ones?","<language-agnostic><types>"
"337","XML Processing in Python","<python><xml>"
"339","",""
"342","",""
"344","",""
"347","",""
"352","",""
"354","",""
"356","",""
"359","",""
"360","",""
"361","Generate list of all possible permutations of a string","<string><language-agnostic><cross-platform>"
"362","",""
"363","",""
"364","",""
"367","",""
"371","How do you make sure email you send programmatically is not automatically marked as spam?","<email><email-spam>"
"375","",""
"382","What is the meaning of the type safety warning in certain Java generics casts?","<java><generics><warnings><casting><type-safety>"
"384","",""
"387","Lucene Score results","<search><lucene>"
"388","",""
"391","",""
"392","",""
"396","",""
"397","",""
"402","iPhone app in landscape mode, 2008 systems","<ios><objective-c><landscape>"
"407","",""
"411","",""
"412","",""
"419","Unload a COM control when working in VB6 IDE","<com><vb6>"
"427","Programmatically launch IE Mobile favorites screen","<internet-explorer><windows-mobile><pocketpc>"
"430","",""
"438","Implementation of ""Remember me"" in a Rails application","<ruby-on-rails><ruby><http>"
"451","",""
"467","",""
"469","How can I find the full path to a font from its display name on a Mac?","<python><macos><fonts><photoshop>"
"470","Homegrown consumption of web services","<.net><web-services>"
"471","",""
"473","",""
"482","WinForms ComboBox data binding gotcha","<c#><winforms><data-binding>"
"483","",""
"497","",""
"502","Get a preview JPEG of a PDF on Windows?","<python><windows><image><pdf>"
"509","",""
"514","Frequent SystemExit in Ruby when making HTTP calls","<ruby-on-rails><ruby><crash>"
"516","",""
"518","",""
"519","",""
"521","",""
"522","",""
"525","",""
"529","",""
"530","",""
"531","",""
"532","",""
"535","Continuous Integration System for a Python Codebase","<python><continuous-integration><extreme-programming>"
"536","",""
"537","",""
"538","",""
"539","",""
"540","",""
"541","",""
"549","The definitive guide to form-based website authentication","<forms><http><security><authentication><language-agnostic>"
"551","",""
"555","",""
"561","How to use combinations of sets as test data","<unit-testing><language-agnostic><testing>"
"562","How to write to Web.Config in Medium Trust?","<c#><asp.net><medium-trust>"
"564","What is the difference between an int and an Integer in Java and C#?","<c#><java><integer><int>"
"566","",""
"568","",""
"576","",""
"580","Deploying SQL Server Databases from Test to Live","<sql-server><sql-server-2005><deployment><release-management>"
"582","",""
"583","",""
"585","",""
"586","",""
"588","Best way to access Exchange using PHP?","<php><windows><exchange-server><webdav><mapi>"
"589","",""
"590","",""
"591","",""
"594","cx_Oracle: How do I iterate over a result set?","<python><sql><database><oracle><cx-oracle>"
"595","",""
"597","",""
"598","",""
"599","",""
"601","Robust Random Number Generation","<c#><c++><random>"
"602","",""
"605","",""
"607","",""
"608","",""
"609","Build for Windows NT 4.0 using Visual Studio 2005?","<c++><visual-studio><compatibility><windows-nt>"
"611","",""
"619","",""
"622","Most efficient code for the first 10000 prime numbers?","<performance><algorithm><primes>"
"623","",""
"626","When to use lambda, when to use Proc.new?","<ruby><lambda><proc>"
"629","",""
"633","",""
"635","",""
"644","Swap unique indexed column values in database","<sql><database>"
"650","Automatically update version number","<c#><visual-studio><versioning>"
"651","Checklist for IIS 6/ASP.NET Windows Authentication?","<asp.net><iis><authentication><active-directory>"
"655","",""
"657","Encrypting Passwords","<php><encryption><passwords>"
"660","",""
"665","",""
"667","",""
"669","",""
"676","",""
"679","",""
"681","",""
"683","Using 'in' to match an attribute of Python objects in an array","<python><arrays><iteration>"
"684","",""
"691","",""
"693","",""
"695","",""
"696","Connect PHP to IBM i (AS/400)","<php><database><odbc><db2><ibm-midrange>"
"699","",""
"701","",""
"704","",""
"705","Embedded Database for .net that can run off a network","<.net><database><embedded-database>"
"707","",""
"709",".NET testing framework advice","<c#><.net><visual-studio><unit-testing><nunit>"
"710","",""
"712","",""
"713","",""
"717","Why doesn't VFP .NET OLEdb provider work in 64 bit Windows?","<.net><sql-server-2005><oledb><legacy><visual-foxpro>"
"718","",""
"723","",""
"725","",""
"730","",""
"735","",""
"737","",""
"742","Class views in Django","<python><django><views><oop>"
"745","",""
"746","Format string to title case","<string><language-agnostic><format><title-case>"
"747","",""
"749","",""
"750","",""
"751","",""
"752","How to create a new object instance from a Type","<c#><.net><performance><reflection><types>"
"754","",""
"755","",""
"759","",""
"761","Localising date format descriptors","<.net><internationalization><date><globalization>"
"762","",""
"763","",""
"764","",""
"766","Python and MySQL","<python><mysql><postgresql><bpgsql>"
"768","",""
"769","Solving a linear equation","<math><linear-algebra><system><linear-equation>"
"770","",""
"771","",""
"773","How do I use itertools.groupby()?","<python><itertools>"
"774","",""
"777","",""
"781","",""
"783","",""
"787","",""
"791","",""
"794","",""
"795","",""
"797","",""
"798","",""
"799","",""
"802","",""
"805","ASP, need to use SFTP","<asp-classic><sftp>"
"810","Visual Studio Setup Project - Per User Registry Settings","<windows><visual-studio><registry><installation>"
"817","",""
"818","",""
"820","",""
"826","Efficiently get sorted sums of a sorted list","<algorithm><language-agnostic>"
"829","",""
"832","How do I most elegantly express left join with aggregate SQL as LINQ query","<c#><linq><left-join>"
"833","Editing database records by multiple users","<sql-server><database>"
"834","",""
"835","CruiseControl.net, msbuild, /p:OutputPath and CCNetArtifactDirectory","<msbuild><cruisecontrol.net>"
"836","",""
"837","",""
"838","",""
"840","",""
"845","How to detect which one of the defined font was used in a web page?","<javascript><html><css><fonts>"
"849","",""
"855",".Net XML comment into API Documentation","<visual-studio><xslt><documentation><sandcastle><xml-comments>"
"858","",""
"859","",""
"870","",""
"871","Why is Git better than Subversion?","<svn><git>"
"873","",""
"875","",""
"876","",""
"877","",""
"879","Are PHP Variables passed by value or by reference?","<php><variables><pass-by-reference><pass-by-value>"
"880","",""
"881","",""
"884","",""
"885","",""
"886","",""
"888","How do you debug PHP scripts?","<php><eclipse><debugging><phpstorm><xdebug>"
"889","",""
"890","",""
"891","",""
"893","",""
"894","",""
"895","",""
"896","",""
"897","",""
"898","Internationalization in your projects","<language-agnostic><unicode><localization><internationalization>"
"904","How to break word after special character like Hyphens (-)","<html><css><text>"
"905","Client collation and SQL Server 2005","<sql-server><sql-server-2005><windows-server-2003>"
"906","",""
"908","",""
"910","",""
"911","",""
"912","",""
"921","",""
"930","How do I connect to a database and loop over a recordset in C#?","<c#><database><loops><connection>"
"931","",""
"935","String literals and escape characters in postgresql","<string><postgresql><escaping>"
"938","",""
"939","",""
"940","",""
"942","",""
"943","",""
"944","Unhandled Exception Handler in .NET 1.1","<c#><.net><exception><exception-handling>"
