Id,Body,Title,Tags
"4","<p>I want to use a <code>Track-Bar</code> to change a <code>Form</code>'s opacity.</p>
<p>This is my code:</p>
<pre class=""lang-cs prettyprint-override""><code>decimal trans = trackBar1.Value / 5000;
this.Opacity = trans;
</code></pre>
<p>When I build the application, it gives the following error:</p>
<blockquote>
<pre class=""lang-none prettyprint-override""><code>Cannot implicitly convert type decimal to double
</code></pre>
</blockquote>
<p>I have tried using <code>trans</code> and <code>double</code>, but then the <code>Control</code> doesn't work. This code worked fine in a past VB.NET project.</p>
","How to convert a Decimal to a Double in C#?","<c#><floating-point><type-conversion><double><decimal>"
"6","<p>I have an absolutely positioned <code>div</code> containing several children, one of which is a relatively positioned <code>div</code>. When I use a <code>percentage-based width</code> on the child <code>div</code>, it collapses to <code>0 width</code> on IE7, but not on Firefox or Safari.</p>
<p>If I use <code>pixel width</code>, it works. If the parent is relatively positioned, the percentage width on the child works.</p>
<ol>
<li>Is there something I'm missing here?</li>
<li>Is there an easy fix for this besides the <code>pixel-based width</code> on the child?</li>
<li>Is there an area of the CSS specification that covers this?</li>
</ol>
","Why did the width collapse in the percentage width child element in an absolutely positioned parent on Internet Explorer 7?","<html><css><internet-explorer-7>"
"7","<p>An explicit cast to <code>double</code> like this isn't necessary:</p>

<pre><code>double trans = (double) trackBar1.Value / 5000.0;
</code></pre>

<p>Identifying the constant as <code>5000.0</code> (or as <code>5000d</code>) is sufficient:</p>

<pre><code>double trans = trackBar1.Value / 5000.0;
double trans = trackBar1.Value / 5000d;
</code></pre>
","",""
"9","<p>Given a <code>DateTime</code> representing a person's birthday, how do I calculate their age in years?</p>
","How do I calculate someone's age based on a DateTime type birthday?","<c#><.net><datetime>"
"11","<p>Given a specific <code>DateTime</code> value, how do I display relative time, like:</p>

<ul>
<li>2 hours ago</li>
<li>3 days ago</li>
<li>a month ago</li>
</ul>
","Calculate relative time in C#","<c#><datetime><time><datediff><relative-time-span>"
"12","<p>Here's how I do it</p>

<pre class=""lang-csharp prettyprint-override""><code>var ts = new TimeSpan(DateTime.UtcNow.Ticks - dt.Ticks);
double delta = Math.Abs(ts.TotalSeconds);

if (delta &lt; 60)
{
  return ts.Seconds == 1 ? ""one second ago"" : ts.Seconds + "" seconds ago"";
}
if (delta &lt; 60 * 2)
{
  return ""a minute ago"";
}
if (delta &lt; 45 * 60)
{
  return ts.Minutes + "" minutes ago"";
}
if (delta &lt; 90 * 60)
{
  return ""an hour ago"";
}
if (delta &lt; 24 * 60 * 60)
{
  return ts.Hours + "" hours ago"";
}
if (delta &lt; 48 * 60 * 60)
{
  return ""yesterday"";
}
if (delta &lt; 30 * 24 * 60 * 60)
{
  return ts.Days + "" days ago"";
}
if (delta &lt; 12 * 30 * 24 * 60 * 60)
{
  int months = Convert.ToInt32(Math.Floor((double)ts.Days / 30));
  return months &lt;= 1 ? ""one month ago"" : months + "" months ago"";
}
int years = Convert.ToInt32(Math.Floor((double)ts.Days / 365));
return years &lt;= 1 ? ""one year ago"" : years + "" years ago"";
</code></pre>

<p>Suggestions? Comments? Ways to improve this algorithm?</p>
","",""
"13","<p>Is there a standard way for a web server to be able to determine a user's timezone within a web page? </p>

<p>Perhaps from an HTTP header or part of the <code>user-agent</code> string?</p>
","Determine a user's timezone","<html><browser><timezone><user-agent><timezone-offset>"
"14","<p>What is the difference between <a href=""http://msdn.microsoft.com/en-us/library/9a6a2sxy.aspx"" rel=""noreferrer""><code>Math.Floor()</code></a> and <a href=""http://msdn.microsoft.com/en-us/library/system.math.truncate.aspx"" rel=""noreferrer""><code>Math.Truncate()</code></a> in .NET?</p>
","Difference between Math.Floor() and Math.Truncate()","<.net><math>"
"16","<p>How do you expose a LINQ query as an ASMX web service?
<br>
Usually, from the business tier, I can return a typed <code>DataSet</code> or a <code>DataTable</code> which can be serialized for transport over ASMX.</p>
<p>How can I do the same for a LINQ query? <br>
Is there a way to populate a typed <code>DataSet</code> or a <code>DataTable</code> via a LINQ query?</p>
<pre><code>public static MyDataTable CallMySproc()
{
    string conn = &quot;...&quot;;

    MyDatabaseDataContext db = new MyDatabaseDataContext(conn);
    MyDataTable dt = new MyDataTable();

    // execute a sproc via LINQ
    var query = from dr
                in db.MySproc().AsEnumerable
                select dr;

    // copy LINQ query resultset into a DataTable -this does not work !    
    dt = query.CopyToDataTable();
   
    return dt;
}
</code></pre>
<p>How could I put the result set of a LINQ query into a <code>DataSet</code> or a <code>DataTable</code>?
<br>
Alternatively, can the LINQ query be serializable so that I can expose it as an ASMX web service?</p>
","Filling a DataSet or a DataTable from a LINQ query result set","<c#><linq><web-services><.net-3.5>"
"17","<p>How do I store binary data in <a href=""http://en.wikipedia.org/wiki/MySQL"" rel=""noreferrer"">MySQL</a>?</p>
","Binary Data in MySQL","<mysql><database><binary-data><data-storage>"
"18","<p>For a table like this:</p>

<pre><code>CREATE TABLE binary_data (
    id INT(4) NOT NULL AUTO_INCREMENT PRIMARY KEY,
    description CHAR(50),
    bin_data LONGBLOB,
    filename CHAR(50),
    filesize CHAR(50),
    filetype CHAR(50)
);
</code></pre>

<p>Here is a PHP example:</p>

<pre><code>&lt;?php
    // store.php3 - by Florian Dittmer &lt;dittmer@gmx.net&gt;
    // Example php script to demonstrate the storing of binary files into
    // an sql database. More information can be found at http://www.phpbuilder.com/
?&gt;

&lt;html&gt;
    &lt;head&gt;&lt;title&gt;Store binary data into SQL Database&lt;/title&gt;&lt;/head&gt;

    &lt;body&gt;
        &lt;?php
            // Code that will be executed if the form has been submitted:

            if ($submit) {
                // Connect to the database (you may have to adjust
                // the hostname, username or password).

                mysql_connect(""localhost"", ""root"", ""password"");
                mysql_select_db(""binary_data"");

                $data = mysql_real_escape_string(fread(fopen($form_data, ""r""), filesize($form_data)));

                $result = mysql_query(""INSERT INTO binary_data (description, bin_data, filename, filesize, filetype) "".
                                    ""VALUES ('$form_description', '$data', '$form_data_name', '$form_data_size', '$form_data_type')"");

                $id= mysql_insert_id();
                print ""&lt;p&gt;This file has the following Database ID: &lt;b&gt;$id&lt;/b&gt;"";

                mysql_close();
            } else {

                // else show the form to submit new data:
        ?&gt;
        &lt;form method=""post"" action=""&lt;?php echo $PHP_SELF; ?&gt;"" enctype=""multipart/form-data""&gt;
            File Description:&lt;br&gt;
            &lt;input type=""text"" name=""form_description""  size=""40""&gt;
            &lt;input type=""hidden"" name=""MAX_FILE_SIZE"" value=""1000000""&gt;
            &lt;br&gt;File to upload/store in database:&lt;br&gt;
            &lt;input type=""file"" name=""form_data""  size=""40""&gt;
            &lt;p&gt;&lt;input type=""submit"" name=""submit"" value=""submit""&gt;
        &lt;/form&gt;

        &lt;?php
            }
        ?&gt;
    &lt;/body&gt;
&lt;/html&gt;
</code></pre>
","",""
